
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len60_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.819350
Expriment finished at 2017-06-03 00:12:31.951656 
Per class accuracy
Class 33: ... 0.67
Class 34: ... 0.30
Class 35: ... 0.76
Class 36: ... 0.79
Class 37: ... 0.44
Class 38: ... 0.98
Class 39: ... 0.70
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 0.98
Class 44: ... 0.94
Class 45: ... 0.95
Class 46: ... 0.86
Class 47: ... 0.76
Class 48: ... 0.94
Class 49: ... 0.88
Class 50: ... 0.74
Class 51: ... 0.57
Class 52: ... 0.82
Class 53: ... 0.80
Class 54: ... 0.68
Class 55: ... 0.71
Class 56: ... 0.97
Class 57: ... 0.61
Class 58: ... 0.64
Class 59: ... 0.80
Class 60: ... 0.96
Class 61: ... 0.85
Class 62: ... 0.81
Class 63: ... 1.00
Class 64: ... 0.73
Class 65: ... 0.97
Class 66: ... 0.86
Class 67: ... 0.75
Class 68: ... 0.91
Class 69: ... 0.71
Class 70: ... 0.87
Class 71: ... 0.87
Class 72: ... 0.82
Class 73: ... 0.95
Class 74: ... 0.91
Class 75: ... 0.94
Class 76: ... 0.95
Class 77: ... 0.47
Class 78: ... 0.65
Class 79: ... 0.94
Class 80: ... 0.80
Class 81: ... 0.93
Class 82: ... 0.97
Class 83: ... 0.90
Class 84: ... 0.98
Class 85: ... 1.00
Class 86: ... 0.94
Class 87: ... 1.00
Class 88: ... 0.93
Class 89: ... 0.87
Class 90: ... 0.86
Class 91: ... 0.92
Class 92: ... 0.87
Class 93: ... 0.97
Class 94: ... 0.91
Class 95: ... 0.89
Class 96: ... 1.00
Class 97: ... 0.94
Class 98: ... 0.66
Class 99: ... 0.96
Class 100: ... 0.75

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len32_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.778784
Expriment finished at 2017-07-07 13:35:21.007193 
Per class accuracy
Class 0: ... 0.74
Class 1: ... 0.77
Class 2: ... 0.65
Class 3: ... 0.82
Class 4: ... 0.85
Class 5: ... 0.93
Class 6: ... 0.82
Class 7: ... 0.72
Class 8: ... 0.99
Class 9: ... 0.95
Class 10: ... 0.94
Class 11: ... 1.00
Class 12: ... 0.59
Class 13: ... 0.81
Class 14: ... 0.51
Class 15: ... 0.92
Class 16: ... 0.67
Class 17: ... 0.93
Class 18: ... 0.88
Class 19: ... 0.38
Class 20: ... 0.89
Class 21: ... 0.87
Class 22: ... 0.55
Class 23: ... 0.30
Class 24: ... 0.92
Class 25: ... 0.98
Class 26: ... 0.88
Class 27: ... 0.98
Class 28: ... 0.91
Class 29: ... 0.89
Class 30: ... 0.93
Class 31: ... 0.63
Class 32: ... 0.71
Class 33: ... 0.56
Class 34: ... 0.33
Class 35: ... 0.67
Class 36: ... 0.69
Class 37: ... 0.24
Class 38: ... 0.80
Class 39: ... 0.54
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.98
Class 43: ... 0.98
Class 44: ... 0.80
Class 45: ... 0.89
Class 46: ... 0.70
Class 47: ... 0.50
Class 48: ... 0.85
Class 49: ... 0.85
Class 50: ... 0.63
Class 51: ... 0.57
Class 52: ... 0.79
Class 53: ... 0.69
Class 54: ... 0.76
Class 55: ... 0.52
Class 56: ... 0.94
Class 57: ... 0.50
Class 58: ... 0.67
Class 59: ... 0.66
Class 60: ... 0.94
Class 61: ... 0.74
Class 62: ... 0.73
Class 63: ... 0.99
Class 64: ... 0.67
Class 65: ... 0.96
Class 66: ... 0.86
Class 67: ... 0.62
Class 68: ... 0.74
Class 69: ... 0.67
Class 70: ... 0.89
Class 71: ... 0.82
Class 72: ... 0.86
Class 73: ... 0.92
Class 74: ... 0.73
Class 75: ... 0.81
Class 76: ... 0.82
Class 77: ... 0.36
Class 78: ... 0.47
Class 79: ... 0.89
Class 80: ... 0.74
Class 81: ... 0.93
Class 82: ... 0.95
Class 83: ... 0.80
Class 84: ... 0.92
Class 85: ... 0.90
Class 86: ... 0.94
Class 87: ... 0.95
Class 88: ... 0.78
Class 89: ... 0.90
Class 90: ... 0.82
Class 91: ... 0.88
Class 92: ... 0.84
Class 93: ... 0.94
Class 94: ... 0.90
Class 95: ... 0.88
Class 96: ... 0.96
Class 97: ... 0.86
Class 98: ... 0.47
Class 99: ... 0.97
Class 100: ... 0.56

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len32_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.814169
Expriment finished at 2017-07-07 13:35:23.783328 
Per class accuracy
Class 0: ... 0.73
Class 1: ... 0.78
Class 2: ... 0.71
Class 3: ... 0.94
Class 4: ... 0.97
Class 5: ... 0.95
Class 6: ... 0.84
Class 7: ... 0.74
Class 8: ... 1.00
Class 9: ... 0.96
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.71
Class 13: ... 0.85
Class 14: ... 0.57
Class 15: ... 0.93
Class 16: ... 0.71
Class 17: ... 0.92
Class 18: ... 0.93
Class 19: ... 0.39
Class 20: ... 0.91
Class 21: ... 0.90
Class 22: ... 0.58
Class 23: ... 0.37
Class 24: ... 0.97
Class 25: ... 1.00
Class 26: ... 0.93
Class 27: ... 1.00
Class 28: ... 0.95
Class 29: ... 0.92
Class 30: ... 0.97
Class 31: ... 0.65
Class 32: ... 0.79
Class 33: ... 0.67
Class 34: ... 0.36
Class 35: ... 0.69
Class 36: ... 0.75
Class 37: ... 0.21
Class 38: ... 0.93
Class 39: ... 0.68
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 0.98
Class 44: ... 0.94
Class 45: ... 0.90
Class 46: ... 0.70
Class 47: ... 0.55
Class 48: ... 0.92
Class 49: ... 0.85
Class 50: ... 0.64
Class 51: ... 0.68
Class 52: ... 0.79
Class 53: ... 0.67
Class 54: ... 0.82
Class 55: ... 0.63
Class 56: ... 0.97
Class 57: ... 0.45
Class 58: ... 0.64
Class 59: ... 0.66
Class 60: ... 0.96
Class 61: ... 0.81
Class 62: ... 0.77
Class 63: ... 1.00
Class 64: ... 0.68
Class 65: ... 0.97
Class 66: ... 0.89
Class 67: ... 0.70
Class 68: ... 0.77
Class 69: ... 0.71
Class 70: ... 0.87
Class 71: ... 0.87
Class 72: ... 0.89
Class 73: ... 0.93
Class 74: ... 0.82
Class 75: ... 0.86
Class 76: ... 0.81
Class 77: ... 0.37
Class 78: ... 0.59
Class 79: ... 0.91
Class 80: ... 0.75
Class 81: ... 0.96
Class 82: ... 0.97
Class 83: ... 0.87
Class 84: ... 0.88
Class 85: ... 1.00
Class 86: ... 0.94
Class 87: ... 1.00
Class 88: ... 0.83
Class 89: ... 0.90
Class 90: ... 0.86
Class 91: ... 0.94
Class 92: ... 0.87
Class 93: ... 1.00
Class 94: ... 0.91
Class 95: ... 0.89
Class 96: ... 0.97
Class 97: ... 0.92
Class 98: ... 0.49
Class 99: ... 1.00
Class 100: ... 0.67

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len48_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.795975
Expriment finished at 2017-07-12 16:15:48.837415 
Per class accuracy
Class 0: ... 0.75
Class 1: ... 0.74
Class 2: ... 0.70
Class 3: ... 0.83
Class 4: ... 0.91
Class 5: ... 0.91
Class 6: ... 0.81
Class 7: ... 0.74
Class 8: ... 1.00
Class 9: ... 0.96
Class 10: ... 0.95
Class 11: ... 0.99
Class 12: ... 0.54
Class 13: ... 0.75
Class 14: ... 0.56
Class 15: ... 0.95
Class 16: ... 0.65
Class 17: ... 0.89
Class 18: ... 0.87
Class 19: ... 0.45
Class 20: ... 0.92
Class 21: ... 0.89
Class 22: ... 0.60
Class 23: ... 0.40
Class 24: ... 0.93
Class 25: ... 1.00
Class 26: ... 0.95
Class 27: ... 1.00
Class 28: ... 0.85
Class 29: ... 0.89
Class 30: ... 0.97
Class 31: ... 0.73
Class 32: ... 0.75
Class 33: ... 0.67
Class 34: ... 0.32
Class 35: ... 0.67
Class 36: ... 0.75
Class 37: ... 0.30
Class 38: ... 0.81
Class 39: ... 0.61
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.98
Class 43: ... 0.99
Class 44: ... 0.78
Class 45: ... 0.88
Class 46: ... 0.81
Class 47: ... 0.55
Class 48: ... 0.88
Class 49: ... 0.85
Class 50: ... 0.64
Class 51: ... 0.57
Class 52: ... 0.82
Class 53: ... 0.79
Class 54: ... 0.71
Class 55: ... 0.56
Class 56: ... 0.95
Class 57: ... 0.45
Class 58: ... 0.61
Class 59: ... 0.69
Class 60: ... 0.93
Class 61: ... 0.85
Class 62: ... 0.83
Class 63: ... 0.99
Class 64: ... 0.67
Class 65: ... 0.96
Class 66: ... 0.88
Class 67: ... 0.64
Class 68: ... 0.74
Class 69: ... 0.73
Class 70: ... 0.94
Class 71: ... 0.82
Class 72: ... 0.87
Class 73: ... 0.91
Class 74: ... 0.79
Class 75: ... 0.90
Class 76: ... 0.89
Class 77: ... 0.36
Class 78: ... 0.49
Class 79: ... 0.89
Class 80: ... 0.75
Class 81: ... 0.92
Class 82: ... 0.97
Class 83: ... 0.86
Class 84: ... 0.88
Class 85: ... 0.93
Class 86: ... 0.97
Class 87: ... 0.95
Class 88: ... 0.81
Class 89: ... 0.89
Class 90: ... 0.81
Class 91: ... 0.89
Class 92: ... 0.82
Class 93: ... 0.93
Class 94: ... 0.89
Class 95: ... 0.86
Class 96: ... 0.97
Class 97: ... 0.87
Class 98: ... 0.42
Class 99: ... 0.98
Class 100: ... 0.58

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len48_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.829236
Expriment finished at 2017-07-12 16:15:51.556551 
Per class accuracy
Class 0: ... 0.68
Class 1: ... 0.75
Class 2: ... 0.78
Class 3: ... 0.94
Class 4: ... 0.97
Class 5: ... 0.95
Class 6: ... 0.84
Class 7: ... 0.77
Class 8: ... 1.00
Class 9: ... 0.98
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.58
Class 13: ... 0.85
Class 14: ... 0.60
Class 15: ... 0.95
Class 16: ... 0.65
Class 17: ... 0.86
Class 18: ... 0.89
Class 19: ... 0.58
Class 20: ... 0.91
Class 21: ... 0.90
Class 22: ... 0.64
Class 23: ... 0.49
Class 24: ... 0.97
Class 25: ... 1.00
Class 26: ... 0.98
Class 27: ... 1.00
Class 28: ... 0.90
Class 29: ... 0.92
Class 30: ... 0.97
Class 31: ... 0.76
Class 32: ... 0.82
Class 33: ... 0.76
Class 34: ... 0.33
Class 35: ... 0.71
Class 36: ... 0.79
Class 37: ... 0.41
Class 38: ... 0.93
Class 39: ... 0.70
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.97
Class 43: ... 1.00
Class 44: ... 0.87
Class 45: ... 0.90
Class 46: ... 0.81
Class 47: ... 0.68
Class 48: ... 0.94
Class 49: ... 0.85
Class 50: ... 0.67
Class 51: ... 0.62
Class 52: ... 0.79
Class 53: ... 0.78
Class 54: ... 0.76
Class 55: ... 0.69
Class 56: ... 0.97
Class 57: ... 0.45
Class 58: ... 0.59
Class 59: ... 0.71
Class 60: ... 0.96
Class 61: ... 0.92
Class 62: ... 0.84
Class 63: ... 1.00
Class 64: ... 0.68
Class 65: ... 0.97
Class 66: ... 0.93
Class 67: ... 0.72
Class 68: ... 0.77
Class 69: ... 0.79
Class 70: ... 0.87
Class 71: ... 0.87
Class 72: ... 0.89
Class 73: ... 0.95
Class 74: ... 0.85
Class 75: ... 0.97
Class 76: ... 0.91
Class 77: ... 0.37
Class 78: ... 0.52
Class 79: ... 0.91
Class 80: ... 0.80
Class 81: ... 0.96
Class 82: ... 0.97
Class 83: ... 0.90
Class 84: ... 0.90
Class 85: ... 1.00
Class 86: ... 1.00
Class 87: ... 1.00
Class 88: ... 0.86
Class 89: ... 0.90
Class 90: ... 0.86
Class 91: ... 0.92
Class 92: ... 0.84
Class 93: ... 0.97
Class 94: ... 0.91
Class 95: ... 0.89
Class 96: ... 0.97
Class 97: ... 0.94
Class 98: ... 0.37
Class 99: ... 1.00
Class 100: ... 0.67

--------------------------------------------------
Compute clip accuracy of UCF101 2 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_fcan_pool1_sz112_len16_split2_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 2 of UCF101 is 0.812248
Expriment finished at 2017-07-27 18:33:58.279778 
Per class accuracy
Class 0: ... 0.70
Class 1: ... 0.72
Class 2: ... 0.47
Class 3: ... 0.90
Class 4: ... 0.95
Class 5: ... 0.95
Class 6: ... 0.98
Class 7: ... 0.75
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 0.98
Class 11: ... 1.00
Class 12: ... 0.41
Class 13: ... 0.66
Class 14: ... 0.53
Class 15: ... 0.99
Class 16: ... 0.78
Class 17: ... 0.98
Class 18: ... 0.62
Class 19: ... 0.45
Class 20: ... 0.76
Class 21: ... 0.91
Class 22: ... 0.57
Class 23: ... 0.63
Class 24: ... 0.96
Class 25: ... 0.95
Class 26: ... 0.86
Class 27: ... 0.98
Class 28: ... 0.83
Class 29: ... 0.88
Class 30: ... 0.99
Class 31: ... 0.85
Class 32: ... 0.87
Class 33: ... 0.66
Class 34: ... 0.68
Class 35: ... 0.79
Class 36: ... 0.83
Class 37: ... 0.33
Class 38: ... 0.83
Class 39: ... 0.57
Class 40: ... 0.99
Class 41: ... 0.99
Class 42: ... 0.66
Class 43: ... 1.00
Class 44: ... 0.50
Class 45: ... 0.80
Class 46: ... 0.66
Class 47: ... 0.89
Class 48: ... 0.93
Class 49: ... 0.94
Class 50: ... 0.90
Class 51: ... 0.47
Class 52: ... 0.67
Class 53: ... 0.88
Class 54: ... 0.55
Class 55: ... 0.66
Class 56: ... 0.98
Class 57: ... 0.57
Class 58: ... 0.86
Class 59: ... 0.84
Class 60: ... 0.82
Class 61: ... 0.62
Class 62: ... 0.83
Class 63: ... 0.87
Class 64: ... 0.80
Class 65: ... 0.89
Class 66: ... 0.93
Class 67: ... 0.80
Class 68: ... 0.99
Class 69: ... 0.88
Class 70: ... 0.87
Class 71: ... 0.76
Class 72: ... 0.93
Class 73: ... 0.97
Class 74: ... 0.39
Class 75: ... 0.98
Class 76: ... 0.92
Class 77: ... 0.31
Class 78: ... 0.54
Class 79: ... 0.96
Class 80: ... 0.98
Class 81: ... 0.95
Class 82: ... 0.95
Class 83: ... 0.81
Class 84: ... 1.00
Class 85: ... 0.90
Class 86: ... 0.95
Class 87: ... 0.97
Class 88: ... 0.90
Class 89: ... 0.86
Class 90: ... 0.67
Class 91: ... 0.98
Class 92: ... 0.59
Class 93: ... 0.95
Class 94: ... 0.68
Class 95: ... 0.93
Class 96: ... 0.98
Class 97: ... 0.96
Class 98: ... 0.87
Class 99: ... 0.85
Class 100: ... 0.70

--------------------------------------------------
Compute video accuracy of UCF101 split 2 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_fcan_pool1_sz112_len16_split2_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 2 of UCF101 is 0.853240
Expriment finished at 2017-07-27 18:34:01.058476 
Per class accuracy
Class 0: ... 0.72
Class 1: ... 0.72
Class 2: ... 0.59
Class 3: ... 0.97
Class 4: ... 1.00
Class 5: ... 0.98
Class 6: ... 1.00
Class 7: ... 0.79
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.50
Class 13: ... 0.70
Class 14: ... 0.50
Class 15: ... 1.00
Class 16: ... 0.93
Class 17: ... 1.00
Class 18: ... 0.61
Class 19: ... 0.59
Class 20: ... 0.85
Class 21: ... 0.98
Class 22: ... 0.62
Class 23: ... 0.63
Class 24: ... 1.00
Class 25: ... 0.98
Class 26: ... 0.88
Class 27: ... 1.00
Class 28: ... 0.86
Class 29: ... 0.97
Class 30: ... 1.00
Class 31: ... 0.84
Class 32: ... 0.94
Class 33: ... 0.70
Class 34: ... 0.73
Class 35: ... 0.80
Class 36: ... 0.78
Class 37: ... 0.36
Class 38: ... 0.93
Class 39: ... 0.68
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.69
Class 43: ... 1.00
Class 44: ... 0.52
Class 45: ... 0.88
Class 46: ... 0.67
Class 47: ... 0.92
Class 48: ... 1.00
Class 49: ... 1.00
Class 50: ... 1.00
Class 51: ... 0.56
Class 52: ... 0.69
Class 53: ... 0.89
Class 54: ... 0.68
Class 55: ... 0.70
Class 56: ... 0.97
Class 57: ... 0.79
Class 58: ... 0.91
Class 59: ... 0.88
Class 60: ... 0.90
Class 61: ... 0.62
Class 62: ... 0.89
Class 63: ... 0.86
Class 64: ... 0.84
Class 65: ... 0.88
Class 66: ... 1.00
Class 67: ... 0.97
Class 68: ... 1.00
Class 69: ... 0.96
Class 70: ... 0.88
Class 71: ... 0.79
Class 72: ... 1.00
Class 73: ... 1.00
Class 74: ... 0.42
Class 75: ... 1.00
Class 76: ... 0.95
Class 77: ... 0.30
Class 78: ... 0.60
Class 79: ... 1.00
Class 80: ... 1.00
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.92
Class 84: ... 1.00
Class 85: ... 1.00
Class 86: ... 0.91
Class 87: ... 1.00
Class 88: ... 0.97
Class 89: ... 0.88
Class 90: ... 0.71
Class 91: ... 1.00
Class 92: ... 0.65
Class 93: ... 1.00
Class 94: ... 0.67
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 1.00
Class 98: ... 0.94
Class 99: ... 0.86
Class 100: ... 0.86

--------------------------------------------------
Compute clip accuracy of UCF101 2 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_fcan_pool1_sz112_len16_split2_bs64_fi2_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 2 of UCF101 is 0.811251
Expriment finished at 2017-07-30 12:25:18.059122 
Per class accuracy
Class 0: ... 0.71
Class 1: ... 0.68
Class 2: ... 0.46
Class 3: ... 0.90
Class 4: ... 0.96
Class 5: ... 0.96
Class 6: ... 0.94
Class 7: ... 0.73
Class 8: ... 1.00
Class 9: ... 0.99
Class 10: ... 0.98
Class 11: ... 1.00
Class 12: ... 0.43
Class 13: ... 0.68
Class 14: ... 0.56
Class 15: ... 0.98
Class 16: ... 0.83
Class 17: ... 0.99
Class 18: ... 0.68
Class 19: ... 0.49
Class 20: ... 0.69
Class 21: ... 0.89
Class 22: ... 0.44
Class 23: ... 0.53
Class 24: ... 0.92
Class 25: ... 0.93
Class 26: ... 0.99
Class 27: ... 0.98
Class 28: ... 0.92
Class 29: ... 0.88
Class 30: ... 0.98
Class 31: ... 0.90
Class 32: ... 0.88
Class 33: ... 0.61
Class 34: ... 0.69
Class 35: ... 0.78
Class 36: ... 0.80
Class 37: ... 0.35
Class 38: ... 0.81
Class 39: ... 0.57
Class 40: ... 0.99
Class 41: ... 0.99
Class 42: ... 0.69
Class 43: ... 1.00
Class 44: ... 0.50
Class 45: ... 0.85
Class 46: ... 0.66
Class 47: ... 0.90
Class 48: ... 0.95
Class 49: ... 0.90
Class 50: ... 0.90
Class 51: ... 0.47
Class 52: ... 0.68
Class 53: ... 0.85
Class 54: ... 0.56
Class 55: ... 0.65
Class 56: ... 0.97
Class 57: ... 0.59
Class 58: ... 0.95
Class 59: ... 0.85
Class 60: ... 0.77
Class 61: ... 0.65
Class 62: ... 0.74
Class 63: ... 0.83
Class 64: ... 0.80
Class 65: ... 0.89
Class 66: ... 0.91
Class 67: ... 0.81
Class 68: ... 0.99
Class 69: ... 0.88
Class 70: ... 0.87
Class 71: ... 0.73
Class 72: ... 0.94
Class 73: ... 0.97
Class 74: ... 0.38
Class 75: ... 0.99
Class 76: ... 0.95
Class 77: ... 0.29
Class 78: ... 0.59
Class 79: ... 0.96
Class 80: ... 0.98
Class 81: ... 0.94
Class 82: ... 0.96
Class 83: ... 0.81
Class 84: ... 1.00
Class 85: ... 0.94
Class 86: ... 0.98
Class 87: ... 0.98
Class 88: ... 0.88
Class 89: ... 0.88
Class 90: ... 0.64
Class 91: ... 0.96
Class 92: ... 0.56
Class 93: ... 0.89
Class 94: ... 0.65
Class 95: ... 0.94
Class 96: ... 0.98
Class 97: ... 0.95
Class 98: ... 0.90
Class 99: ... 0.88
Class 100: ... 0.73

--------------------------------------------------
Compute video accuracy of UCF101 split 2 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_fcan_pool1_sz112_len16_split2_bs64_fi2_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 2 of UCF101 is 0.851634
Expriment finished at 2017-07-30 12:25:21.302632 
Per class accuracy
Class 0: ... 0.72
Class 1: ... 0.69
Class 2: ... 0.54
Class 3: ... 0.97
Class 4: ... 1.00
Class 5: ... 0.98
Class 6: ... 0.95
Class 7: ... 0.79
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.47
Class 13: ... 0.77
Class 14: ... 0.53
Class 15: ... 1.00
Class 16: ... 0.95
Class 17: ... 1.00
Class 18: ... 0.68
Class 19: ... 0.56
Class 20: ... 0.76
Class 21: ... 0.98
Class 22: ... 0.46
Class 23: ... 0.57
Class 24: ... 0.94
Class 25: ... 0.95
Class 26: ... 1.00
Class 27: ... 1.00
Class 28: ... 1.00
Class 29: ... 0.94
Class 30: ... 1.00
Class 31: ... 0.92
Class 32: ... 0.94
Class 33: ... 0.70
Class 34: ... 0.73
Class 35: ... 0.80
Class 36: ... 0.86
Class 37: ... 0.36
Class 38: ... 0.88
Class 39: ... 0.65
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.75
Class 43: ... 1.00
Class 44: ... 0.52
Class 45: ... 0.88
Class 46: ... 0.64
Class 47: ... 0.97
Class 48: ... 1.00
Class 49: ... 1.00
Class 50: ... 1.00
Class 51: ... 0.49
Class 52: ... 0.72
Class 53: ... 0.84
Class 54: ... 0.71
Class 55: ... 0.80
Class 56: ... 0.97
Class 57: ... 0.76
Class 58: ... 0.98
Class 59: ... 0.90
Class 60: ... 0.81
Class 61: ... 0.64
Class 62: ... 0.76
Class 63: ... 0.82
Class 64: ... 0.81
Class 65: ... 0.88
Class 66: ... 0.96
Class 67: ... 0.97
Class 68: ... 1.00
Class 69: ... 1.00
Class 70: ... 0.88
Class 71: ... 0.75
Class 72: ... 1.00
Class 73: ... 1.00
Class 74: ... 0.42
Class 75: ... 1.00
Class 76: ... 0.97
Class 77: ... 0.28
