
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/features/c3d_ucf101_finetune_whole_split1_iter_20000_newfb_format/
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.778060
Expriment finished at 2016-10-24 10:36:38.922406 
Per class accuracy
Class 97: ... 0.91
Class 98: ... 0.47
Class 99: ... 0.99
Class 100: ... 0.42

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/features/c3d_ucf101_finetune_whole_split1_iter_20000_newfb_format/
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.812318
Expriment finished at 2016-10-24 10:40:26.277845 
Per class accuracy
Class 0: ... 0.75
Class 1: ... 0.75
Class 2: ... 0.73
Class 3: ... 1.00
Class 4: ... 0.97
Class 5: ... 0.95
Class 6: ... 0.86
Class 7: ... 0.57
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.74
Class 13: ... 0.73
Class 14: ... 0.53
Class 15: ... 0.95
Class 16: ... 0.51
Class 17: ... 1.00
Class 18: ... 0.82
Class 19: ... 0.39
Class 20: ... 0.85
Class 21: ... 0.95
Class 22: ... 0.58
Class 23: ... 0.51
Class 24: ... 0.82
Class 25: ... 1.00
Class 26: ... 0.84
Class 27: ... 1.00
Class 28: ... 0.90
Class 29: ... 1.00
Class 30: ... 0.97
Class 31: ... 0.46
Class 32: ... 0.72
Class 33: ... 0.42
Class 34: ... 0.33
Class 35: ... 0.73
Class 36: ... 0.79
Class 37: ... 0.41
Class 38: ... 0.76
Class 39: ... 0.41
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 1.00
Class 44: ... 0.84
Class 45: ... 0.90
Class 46: ... 0.97
Class 47: ... 0.84
Class 48: ... 0.89
Class 49: ... 0.82
Class 50: ... 0.85
Class 51: ... 0.62
Class 52: ... 0.88
Class 53: ... 0.60
Class 54: ... 0.82
Class 55: ... 0.46
Class 56: ... 0.95
Class 57: ... 0.55
Class 58: ... 0.66
Class 59: ... 0.51
Class 60: ... 0.78
Class 61: ... 0.81
Class 62: ... 0.84
Class 63: ... 1.00
Class 64: ... 0.84
Class 65: ... 0.97
Class 66: ... 0.82
Class 67: ... 0.75
Class 68: ... 1.00
Class 69: ... 0.64
Class 70: ... 0.90
Class 71: ... 0.83
Class 72: ... 0.89
Class 73: ... 1.00
Class 74: ... 0.97
Class 75: ... 0.94
Class 76: ... 0.86
Class 77: ... 0.26
Class 78: ... 0.39
Class 79: ... 1.00
Class 80: ... 0.78
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.97
Class 84: ... 1.00
Class 85: ... 0.97
Class 86: ... 1.00
Class 87: ... 1.00
Class 88: ... 0.81
Class 89: ... 1.00
Class 90: ... 0.86
Class 91: ... 0.94
Class 92: ... 0.79
Class 93: ... 1.00
Class 94: ... 0.91
Class 95: ... 0.93
Class 96: ... 1.00
Class 97: ... 0.94
Class 98: ... 0.43
Class 99: ... 1.00
Class 100: ... 0.58

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/features-10view/c3d_ucf101_finetune_whole_split1_iter_20000_newfb_format/
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.784361
Expriment finished at 2016-10-24 10:46:39.417469 
Per class accuracy
Class 0: ... 0.72
Class 1: ... 0.80
Class 2: ... 0.72
Class 3: ... 0.95
Class 4: ... 0.93
Class 5: ... 0.96
Class 6: ... 0.85
Class 7: ... 0.55
Class 8: ... 1.00
Class 9: ... 0.99
Class 10: ... 0.93
Class 11: ... 1.00
Class 12: ... 0.69
Class 13: ... 0.71
Class 14: ... 0.50
Class 15: ... 0.94
Class 16: ... 0.51
Class 17: ... 0.99
Class 18: ... 0.85
Class 19: ... 0.39
Class 20: ... 0.86
Class 21: ... 0.89
Class 22: ... 0.54
Class 23: ... 0.50
Class 24: ... 0.92
Class 25: ... 1.00
Class 26: ... 0.89
Class 27: ... 0.99
Class 28: ... 0.92
Class 29: ... 0.89
Class 30: ... 0.95
Class 31: ... 0.55
Class 32: ... 0.75
Class 33: ... 0.43
Class 34: ... 0.34
Class 35: ... 0.70
Class 36: ... 0.76
Class 37: ... 0.31
Class 38: ... 0.77
Class 39: ... 0.43
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.99
Class 43: ... 0.99
Class 44: ... 0.66
Class 45: ... 0.89
Class 46: ... 0.78
Class 47: ... 0.73
Class 48: ... 0.87
Class 49: ... 0.88
Class 50: ... 0.80
Class 51: ... 0.55
Class 52: ... 0.83
Class 53: ... 0.54
Class 54: ... 0.82
Class 55: ... 0.45
Class 56: ... 0.91
Class 57: ... 0.47
Class 58: ... 0.67
Class 59: ... 0.53
Class 60: ... 0.68
Class 61: ... 0.77
Class 62: ... 0.78
Class 63: ... 0.99
Class 64: ... 0.65
Class 65: ... 0.97
Class 66: ... 0.74
Class 67: ... 0.64
Class 68: ... 0.99
Class 69: ... 0.54
Class 70: ... 0.90
Class 71: ... 0.67
Class 72: ... 0.85
Class 73: ... 0.98
Class 74: ... 0.92
Class 75: ... 0.95
Class 76: ... 0.83
Class 77: ... 0.18
Class 78: ... 0.30
Class 79: ... 0.94
Class 80: ... 0.76
Class 81: ... 0.95
Class 82: ... 0.96
Class 83: ... 0.95
Class 84: ... 1.00
Class 85: ... 0.97
Class 86: ... 0.95
Class 87: ... 0.97
Class 88: ... 0.76
Class 89: ... 0.99
Class 90: ... 0.86
Class 91: ... 0.88
Class 92: ... 0.79
Class 93: ... 0.99
Class 94: ... 0.91
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 0.91
Class 98: ... 0.44
Class 99: ... 0.99
Class 100: ... 0.43

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/features-10view/c3d_ucf101_finetune_whole_split1_iter_20000_newfb_format/
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.808089
Expriment finished at 2016-10-24 10:49:42.438375 
Per class accuracy
Class 0: ... 0.73
Class 1: ... 0.84
Class 2: ... 0.73
Class 3: ... 0.97
Class 4: ... 1.00
Class 5: ... 0.98
Class 6: ... 0.86
Class 7: ... 0.57
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 0.89
Class 11: ... 1.00
Class 12: ... 0.68
Class 13: ... 0.76
Class 14: ... 0.53
Class 15: ... 0.93
Class 16: ... 0.49
Class 17: ... 1.00
Class 18: ... 0.89
Class 19: ... 0.42
Class 20: ... 0.85
Class 21: ... 0.95
Class 22: ... 0.53
Class 23: ... 0.51
Class 24: ... 0.94
Class 25: ... 1.00
Class 26: ... 0.89
Class 27: ... 1.00
Class 28: ... 0.97
Class 29: ... 0.97
Class 30: ... 0.97
Class 31: ... 0.57
Class 32: ... 0.74
Class 33: ... 0.42
Class 34: ... 0.33
Class 35: ... 0.73
Class 36: ... 0.79
Class 37: ... 0.41
Class 38: ... 0.83
Class 39: ... 0.41
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 1.00
Class 44: ... 0.81
Class 45: ... 0.90
Class 46: ... 0.73
Class 47: ... 0.76
Class 48: ... 0.92
Class 49: ... 0.88
Class 50: ... 0.85
Class 51: ... 0.62
Class 52: ... 0.82
Class 53: ... 0.62
Class 54: ... 0.85
Class 55: ... 0.46
Class 56: ... 0.95
Class 57: ... 0.55
Class 58: ... 0.66
Class 59: ... 0.59
Class 60: ... 0.67
Class 61: ... 0.83
Class 62: ... 0.77
Class 63: ... 1.00
Class 64: ... 0.68
Class 65: ... 0.97
Class 66: ... 0.79
Class 67: ... 0.78
Class 68: ... 1.00
Class 69: ... 0.57
Class 70: ... 0.90
Class 71: ... 0.70
Class 72: ... 0.89
Class 73: ... 1.00
Class 74: ... 0.97
Class 75: ... 0.97
Class 76: ... 0.86
Class 77: ... 0.19
Class 78: ... 0.39
Class 79: ... 0.97
Class 80: ... 0.78
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.95
Class 84: ... 1.00
Class 85: ... 1.00
Class 86: ... 0.97
Class 87: ... 1.00
Class 88: ... 0.81
Class 89: ... 1.00
Class 90: ... 0.86
Class 91: ... 0.94
Class 92: ... 0.82
Class 93: ... 1.00
Class 94: ... 0.91
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 0.94
Class 98: ... 0.43
Class 99: ... 1.00
Class 100: ... 0.58

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features/c3d_rgb_lmdb_fb_split1_model1_iter_20000/
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.758300
Expriment finished at 2016-10-26 16:32:21.135538 
Per class accuracy
Class 0: ... 0.65
Class 1: ... 0.80
Class 2: ... 0.57
Class 3: ... 0.68
Class 4: ... 0.82
Class 5: ... 0.97
Class 6: ... 0.85
Class 7: ... 0.59
Class 8: ... 1.00
Class 9: ... 0.87
Class 10: ... 0.94
Class 11: ... 1.00
Class 12: ... 0.56
Class 13: ... 0.86
Class 14: ... 0.42
Class 15: ... 0.99
Class 16: ... 0.63
Class 17: ... 1.00
Class 18: ... 0.88
Class 19: ... 0.31
Class 20: ... 0.84
Class 21: ... 0.85
Class 22: ... 0.51
Class 23: ... 0.44
Class 24: ... 0.62
Class 25: ... 0.99
Class 26: ... 0.84
Class 27: ... 0.98
Class 28: ... 0.98
Class 29: ... 0.94
Class 30: ... 0.92
Class 31: ... 0.50
Class 32: ... 0.72
Class 33: ... 0.49
Class 34: ... 0.36
Class 35: ... 0.74
Class 36: ... 0.73
Class 37: ... 0.21
Class 38: ... 0.79
Class 39: ... 0.49
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.97
Class 43: ... 0.99
Class 44: ... 0.62
Class 45: ... 0.83
Class 46: ... 0.54
Class 47: ... 0.48
Class 48: ... 0.88
Class 49: ... 0.80
Class 50: ... 0.66
Class 51: ... 0.48
Class 52: ... 0.78
Class 53: ... 0.69
Class 54: ... 0.70
Class 55: ... 0.30
Class 56: ... 0.96
Class 57: ... 0.48
Class 58: ... 0.66
Class 59: ... 0.43
Class 60: ... 0.63
Class 61: ... 0.79
Class 62: ... 0.79
Class 63: ... 0.97
Class 64: ... 0.87
Class 65: ... 0.96
Class 66: ... 0.73
Class 67: ... 0.84
Class 68: ... 0.79
Class 69: ... 0.55
Class 70: ... 0.88
Class 71: ... 0.52
Class 72: ... 0.82
Class 73: ... 0.89
Class 74: ... 0.77
Class 75: ... 0.94
Class 76: ... 0.76
Class 77: ... 0.20
Class 78: ... 0.24
Class 79: ... 0.89
Class 80: ... 0.76
Class 81: ... 0.98
Class 82: ... 0.96
Class 83: ... 0.85
Class 84: ... 1.00
Class 85: ... 0.93
Class 86: ... 0.98
Class 87: ... 0.98
Class 88: ... 0.78
Class 89: ... 0.91
Class 90: ... 0.84
Class 91: ... 0.99
Class 92: ... 0.78
Class 93: ... 1.00
Class 94: ... 0.81
Class 95: ... 0.97
Class 96: ... 1.00
Class 97: ... 0.85
Class 98: ... 0.34
Class 99: ... 1.00
Class 100: ... 0.49

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features/c3d_rgb_lmdb_fb_split1_model1_iter_20000/
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.781919
Expriment finished at 2016-10-26 16:32:23.776633 
Per class accuracy
Class 0: ... 0.66
Class 1: ... 0.81
Class 2: ... 0.63
Class 3: ... 0.80
Class 4: ... 0.81
Class 5: ... 0.98
Class 6: ... 0.86
Class 7: ... 0.60
Class 8: ... 1.00
Class 9: ... 0.90
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.53
Class 13: ... 0.88
Class 14: ... 0.43
Class 15: ... 1.00
Class 16: ... 0.59
Class 17: ... 1.00
Class 18: ... 0.93
Class 19: ... 0.31
Class 20: ... 0.85
Class 21: ... 0.92
Class 22: ... 0.50
Class 23: ... 0.43
Class 24: ... 0.58
Class 25: ... 1.00
Class 26: ... 0.87
Class 27: ... 1.00
Class 28: ... 0.97
Class 29: ... 1.00
Class 30: ... 0.97
Class 31: ... 0.51
Class 32: ... 0.72
Class 33: ... 0.55
Class 34: ... 0.36
Class 35: ... 0.76
Class 36: ... 0.71
Class 37: ... 0.24
Class 38: ... 0.88
Class 39: ... 0.59
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 1.00
Class 44: ... 0.68
Class 45: ... 0.88
Class 46: ... 0.54
Class 47: ... 0.50
Class 48: ... 0.94
Class 49: ... 0.82
Class 50: ... 0.72
Class 51: ... 0.57
Class 52: ... 0.76
Class 53: ... 0.73
Class 54: ... 0.68
Class 55: ... 0.37
Class 56: ... 0.97
Class 57: ... 0.45
Class 58: ... 0.66
Class 59: ... 0.46
Class 60: ... 0.61
Class 61: ... 0.88
Class 62: ... 0.79
Class 63: ... 1.00
Class 64: ... 0.89
Class 65: ... 0.97
Class 66: ... 0.79
Class 67: ... 1.00
Class 68: ... 0.80
Class 69: ... 0.57
Class 70: ... 0.87
Class 71: ... 0.57
Class 72: ... 0.82
Class 73: ... 0.95
Class 74: ... 0.88
Class 75: ... 0.94
Class 76: ... 0.84
Class 77: ... 0.19
Class 78: ... 0.24
Class 79: ... 0.94
Class 80: ... 0.78
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.90
Class 84: ... 1.00
Class 85: ... 1.00
Class 86: ... 0.97
Class 87: ... 1.00
Class 88: ... 0.83
Class 89: ... 0.92
Class 90: ... 0.86
Class 91: ... 1.00
Class 92: ... 0.82
Class 93: ... 1.00
Class 94: ... 0.84
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 0.89
Class 98: ... 0.31
Class 99: ... 1.00
Class 100: ... 0.56

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features/c3d_rgb_lmdb_fb_split1_model2_iter_10000/
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.782222
Expriment finished at 2016-10-26 16:45:44.517860 
Per class accuracy
Class 0: ... 0.62
Class 1: ... 0.75
Class 2: ... 0.67
Class 3: ... 0.74
Class 4: ... 0.85
Class 5: ... 0.97
Class 6: ... 0.86
Class 7: ... 0.59
Class 8: ... 1.00
Class 9: ... 0.99
Class 10: ... 0.97
Class 11: ... 1.00
Class 12: ... 0.43
Class 13: ... 0.82
Class 14: ... 0.53
Class 15: ... 1.00
Class 16: ... 0.76
Class 17: ... 0.97
Class 18: ... 0.90
Class 19: ... 0.32
Class 20: ... 0.85
Class 21: ... 0.84
Class 22: ... 0.57
Class 23: ... 0.38
Class 24: ... 0.84
Class 25: ... 1.00
Class 26: ... 0.85
Class 27: ... 0.97
Class 28: ... 0.97
Class 29: ... 0.94
Class 30: ... 0.95
Class 31: ... 0.47
Class 32: ... 0.82
Class 33: ... 0.52
Class 34: ... 0.36
Class 35: ... 0.70
Class 36: ... 0.62
Class 37: ... 0.30
Class 38: ... 0.85
Class 39: ... 0.55
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 0.98
Class 44: ... 0.68
Class 45: ... 0.84
Class 46: ... 0.74
Class 47: ... 0.53
Class 48: ... 0.90
Class 49: ... 0.87
Class 50: ... 0.73
Class 51: ... 0.47
Class 52: ... 0.72
Class 53: ... 0.65
Class 54: ... 0.78
Class 55: ... 0.43
Class 56: ... 0.95
Class 57: ... 0.35
Class 58: ... 0.66
Class 59: ... 0.56
Class 60: ... 0.70
Class 61: ... 0.75
Class 62: ... 0.93
Class 63: ... 0.95
Class 64: ... 0.83
Class 65: ... 0.95
Class 66: ... 0.73
Class 67: ... 0.79
Class 68: ... 0.95
Class 69: ... 0.56
Class 70: ... 0.88
Class 71: ... 0.68
Class 72: ... 0.85
Class 73: ... 0.89
Class 74: ... 0.86
Class 75: ... 0.97
Class 76: ... 0.79
Class 77: ... 0.28
Class 78: ... 0.23
Class 79: ... 0.94
Class 80: ... 0.74
Class 81: ... 0.98
Class 82: ... 0.97
Class 83: ... 0.85
Class 84: ... 1.00
Class 85: ... 0.94
Class 86: ... 0.99
Class 87: ... 0.98
Class 88: ... 0.79
Class 89: ... 0.92
Class 90: ... 0.84
Class 91: ... 0.99
Class 92: ... 0.79
Class 93: ... 1.00
Class 94: ... 0.90
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 0.85
Class 98: ... 0.57
Class 99: ... 1.00
Class 100: ... 0.54

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features/c3d_rgb_lmdb_fb_split1_model2_iter_10000/
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.809411
Expriment finished at 2016-10-26 16:45:47.384231 
Per class accuracy
Class 0: ... 0.64
Class 1: ... 0.81
Class 2: ... 0.78
Class 3: ... 0.83
Class 4: ... 0.90
Class 5: ... 0.98
Class 6: ... 0.86
Class 7: ... 0.66
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.55
Class 13: ... 0.85
Class 14: ... 0.63
Class 15: ... 1.00
Class 16: ... 0.82
Class 17: ... 0.97
Class 18: ... 0.93
Class 19: ... 0.33
Class 20: ... 0.85
Class 21: ... 0.95
Class 22: ... 0.58
Class 23: ... 0.41
Class 24: ... 0.85
Class 25: ... 1.00
Class 26: ... 0.87
Class 27: ... 1.00
Class 28: ... 1.00
Class 29: ... 1.00
Class 30: ... 0.97
Class 31: ... 0.46
Class 32: ... 0.85
Class 33: ... 0.58
Class 34: ... 0.36
Class 35: ... 0.71
Class 36: ... 0.57
Class 37: ... 0.32
Class 38: ... 0.88
Class 39: ... 0.68
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 0.98
Class 44: ... 0.71
Class 45: ... 0.88
Class 46: ... 0.76
Class 47: ... 0.61
Class 48: ... 0.94
Class 49: ... 0.88
Class 50: ... 0.72
Class 51: ... 0.54
Class 52: ... 0.73
Class 53: ... 0.67
Class 54: ... 0.88
Class 55: ... 0.46
Class 56: ... 0.95
Class 57: ... 0.30
Class 58: ... 0.66
Class 59: ... 0.61
Class 60: ... 0.73
Class 61: ... 0.79
Class 62: ... 0.93
Class 63: ... 0.96
Class 64: ... 0.82
Class 65: ... 0.97
Class 66: ... 0.79
Class 67: ... 0.95
Class 68: ... 1.00
Class 69: ... 0.57
Class 70: ... 0.87
Class 71: ... 0.70
Class 72: ... 0.89
Class 73: ... 0.95
Class 74: ... 0.91
Class 75: ... 0.97
Class 76: ... 0.81
Class 77: ... 0.33
Class 78: ... 0.24
Class 79: ... 0.97
Class 80: ... 0.80
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.87
Class 84: ... 1.00
Class 85: ... 0.97
Class 86: ... 1.00
Class 87: ... 1.00
Class 88: ... 0.81
Class 89: ... 0.92
Class 90: ... 0.86
Class 91: ... 1.00
Class 92: ... 0.79
Class 93: ... 1.00
Class 94: ... 0.93
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 0.89
Class 98: ... 0.60
Class 99: ... 1.00
Class 100: ... 0.56

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features-10view/c3d_rgb_lmdb_fb_split1_model1_iter_20000/
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.778124
Expriment finished at 2016-10-27 00:51:40.267818 
Per class accuracy
Class 0: ... 0.65
Class 1: ... 0.82
Class 2: ... 0.57
Class 3: ... 0.77
Class 4: ... 0.84
Class 5: ... 0.97
Class 6: ... 0.86
Class 7: ... 0.61
Class 8: ... 1.00
Class 9: ... 0.90
Class 10: ... 0.94
Class 11: ... 1.00
Class 12: ... 0.58
Class 13: ... 0.89
Class 14: ... 0.39
Class 15: ... 0.99
Class 16: ... 0.71
Class 17: ... 0.99
Class 18: ... 0.92
Class 19: ... 0.31
Class 20: ... 0.84
Class 21: ... 0.87
Class 22: ... 0.50
Class 23: ... 0.52
Class 24: ... 0.67
Class 25: ... 1.00
Class 26: ... 0.85
Class 27: ... 1.00
Class 28: ... 0.98
Class 29: ... 0.93
Class 30: ... 0.95
Class 31: ... 0.51
Class 32: ... 0.75
Class 33: ... 0.55
Class 34: ... 0.37
Class 35: ... 0.74
Class 36: ... 0.71
Class 37: ... 0.23
Class 38: ... 0.87
Class 39: ... 0.50
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.97
Class 43: ... 0.99
Class 44: ... 0.62
Class 45: ... 0.88
Class 46: ... 0.56
Class 47: ... 0.50
Class 48: ... 0.88
Class 49: ... 0.86
Class 50: ... 0.67
Class 51: ... 0.51
Class 52: ... 0.77
Class 53: ... 0.75
Class 54: ... 0.76
Class 55: ... 0.27
Class 56: ... 0.96
Class 57: ... 0.47
Class 58: ... 0.66
Class 59: ... 0.51
Class 60: ... 0.65
Class 61: ... 0.79
Class 62: ... 0.82
Class 63: ... 0.97
Class 64: ... 0.91
Class 65: ... 0.96
Class 66: ... 0.71
Class 67: ... 0.86
Class 68: ... 0.80
Class 69: ... 0.56
Class 70: ... 0.89
Class 71: ... 0.64
Class 72: ... 0.82
Class 73: ... 0.90
Class 74: ... 0.79
Class 75: ... 0.93
Class 76: ... 0.79
Class 77: ... 0.25
Class 78: ... 0.33
Class 79: ... 0.89
Class 80: ... 0.79
Class 81: ... 0.99
Class 82: ... 0.96
Class 83: ... 0.86
Class 84: ... 1.00
Class 85: ... 0.97
Class 86: ... 0.96
Class 87: ... 0.98
Class 88: ... 0.79
Class 89: ... 0.92
Class 90: ... 0.85
Class 91: ... 1.00
Class 92: ... 0.78
Class 93: ... 1.00
Class 94: ... 0.92
Class 95: ... 0.97
Class 96: ... 1.00
Class 97: ... 0.86
Class 98: ... 0.48
Class 99: ... 1.00
Class 100: ... 0.52

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features-10view/c3d_rgb_lmdb_fb_split1_model1_iter_20000/
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.799101
Expriment finished at 2016-10-27 00:51:43.491803 
Per class accuracy
Class 0: ... 0.64
Class 1: ... 0.81
Class 2: ... 0.66
Class 3: ... 0.83
Class 4: ... 0.90
Class 5: ... 0.98
Class 6: ... 0.86
Class 7: ... 0.63
Class 8: ... 1.00
Class 9: ... 0.94
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.61
Class 13: ... 0.91
Class 14: ... 0.43
Class 15: ... 1.00
Class 16: ... 0.69
Class 17: ... 1.00
Class 18: ... 0.96
Class 19: ... 0.33
Class 20: ... 0.85
Class 21: ... 0.95
Class 22: ... 0.50
Class 23: ... 0.53
Class 24: ... 0.73
Class 25: ... 1.00
Class 26: ... 0.87
Class 27: ... 1.00
Class 28: ... 0.97
Class 29: ... 0.97
Class 30: ... 0.97
Class 31: ... 0.49
Class 32: ... 0.77
Class 33: ... 0.61
Class 34: ... 0.39
Class 35: ... 0.76
Class 36: ... 0.71
Class 37: ... 0.26
Class 38: ... 0.95
Class 39: ... 0.54
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.97
Class 43: ... 1.00
Class 44: ... 0.65
Class 45: ... 0.90
Class 46: ... 0.54
Class 47: ... 0.47
Class 48: ... 0.94
Class 49: ... 0.88
Class 50: ... 0.72
Class 51: ... 0.57
Class 52: ... 0.76
Class 53: ... 0.80
Class 54: ... 0.82
Class 55: ... 0.31
Class 56: ... 0.95
Class 57: ... 0.45
Class 58: ... 0.66
Class 59: ... 0.54
Class 60: ... 0.65
Class 61: ... 0.85
Class 62: ... 0.84
Class 63: ... 1.00
Class 64: ... 0.95
Class 65: ... 0.97
Class 66: ... 0.71
Class 67: ... 0.95
Class 68: ... 0.80
Class 69: ... 0.57
Class 70: ... 0.90
Class 71: ... 0.67
Class 72: ... 0.82
Class 73: ... 0.93
Class 74: ... 0.88
Class 75: ... 0.92
Class 76: ... 0.84
Class 77: ... 0.23
Class 78: ... 0.41
Class 79: ... 0.94
Class 80: ... 0.80
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.87
Class 84: ... 1.00
Class 85: ... 1.00
Class 86: ... 0.97
Class 87: ... 1.00
Class 88: ... 0.86
Class 89: ... 0.92
Class 90: ... 0.86
Class 91: ... 1.00
Class 92: ... 0.82
Class 93: ... 1.00
Class 94: ... 0.91
Class 95: ... 0.96
Class 96: ... 1.00
Class 97: ... 0.86
Class 98: ... 0.54
Class 99: ... 1.00
Class 100: ... 0.50

--------------------------------------------------
