
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_1_fc_split1_bs128_wi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.767988
Expriment finished at 2017-04-03 16:18:14.692116 
Per class accuracy
Class 38: ... 0.83
Class 39: ... 0.57
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.98
Class 43: ... 0.98
Class 44: ... 0.85
Class 45: ... 0.89
Class 46: ... 0.62
Class 47: ... 0.43
Class 48: ... 0.80
Class 49: ... 0.78
Class 50: ... 0.71
Class 51: ... 0.53
Class 52: ... 0.66
Class 53: ... 0.79
Class 54: ... 0.67
Class 55: ... 0.45
Class 56: ... 0.98
Class 57: ... 0.54
Class 58: ... 0.59
Class 59: ... 0.70
Class 60: ... 0.97
Class 61: ... 0.71
Class 62: ... 0.72
Class 63: ... 0.99
Class 64: ... 0.66
Class 65: ... 0.84
Class 66: ... 0.82
Class 67: ... 0.73
Class 68: ... 0.71
Class 69: ... 0.56
Class 70: ... 0.94
Class 71: ... 0.81
Class 72: ... 0.84
Class 73: ... 0.89
Class 74: ... 0.79
Class 75: ... 0.89
Class 76: ... 0.86
Class 77: ... 0.43
Class 78: ... 0.38
Class 79: ... 0.88
Class 80: ... 0.79
Class 81: ... 0.96
Class 82: ... 0.97
Class 83: ... 0.88
Class 84: ... 1.00
Class 85: ... 0.81
Class 86: ... 0.97
Class 87: ... 0.97
Class 88: ... 0.77
Class 89: ... 0.82
Class 90: ... 0.94
Class 91: ... 0.89
Class 92: ... 0.86
Class 93: ... 0.97
Class 94: ... 0.91
Class 95: ... 0.89
Class 96: ... 0.97
Class 97: ... 0.85
Class 98: ... 0.54
Class 99: ... 0.85
Class 100: ... 0.59

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.793021
Expriment finished at 2017-04-03 16:18:29.506377 
Per class accuracy
Class 0: ... 0.80
Class 1: ... 0.78
Class 2: ... 0.71
Class 3: ... 0.89
Class 4: ... 0.87
Class 5: ... 0.93
Class 6: ... 0.86
Class 7: ... 0.60
Class 8: ... 1.00
Class 9: ... 0.77
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.45
Class 13: ... 0.70
Class 14: ... 0.63
Class 15: ... 0.93
Class 16: ... 0.73
Class 17: ... 0.95
Class 18: ... 0.93
Class 19: ... 0.42
Class 20: ... 0.91
Class 21: ... 0.97
Class 22: ... 0.47
Class 23: ... 0.18
Class 24: ... 0.79
Class 25: ... 0.98
Class 26: ... 0.93
Class 27: ... 0.97
Class 28: ... 0.95
Class 29: ... 0.94
Class 30: ... 0.97
Class 31: ... 0.68
Class 32: ... 0.74
Class 33: ... 0.79
Class 34: ... 0.30
Class 35: ... 0.73
Class 36: ... 0.71
Class 37: ... 0.18
Class 38: ... 0.90
Class 39: ... 0.62
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.97
Class 43: ... 0.98
Class 44: ... 0.94
Class 45: ... 0.90
Class 46: ... 0.59
Class 47: ... 0.42
Class 48: ... 0.83
Class 49: ... 0.79
Class 50: ... 0.72
Class 51: ... 0.54
Class 52: ... 0.67
Class 53: ... 0.80
Class 54: ... 0.71
Class 55: ... 0.57
Class 56: ... 1.00
Class 57: ... 0.55
Class 58: ... 0.59
Class 59: ... 0.73
Class 60: ... 0.96
Class 61: ... 0.73
Class 62: ... 0.74
Class 63: ... 1.00
Class 64: ... 0.68
Class 65: ... 0.84
Class 66: ... 0.86
Class 67: ... 0.78
Class 68: ... 0.69
Class 69: ... 0.57
Class 70: ... 0.87
Class 71: ... 0.83
Class 72: ... 0.82
Class 73: ... 0.90
Class 74: ... 0.82
Class 75: ... 0.92
Class 76: ... 0.88
Class 77: ... 0.51
Class 78: ... 0.37
Class 79: ... 0.94
Class 80: ... 0.82
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.92
Class 84: ... 1.00
Class 85: ... 0.84
Class 86: ... 0.97
Class 87: ... 1.00
Class 88: ... 0.79
Class 89: ... 0.82
Class 90: ... 0.96
Class 91: ... 0.92
Class 92: ... 0.87
Class 93: ... 1.00
Class 94: ... 0.91
Class 95: ... 0.89
Class 96: ... 0.97
Class 97: ... 0.89
Class 98: ... 0.54
Class 99: ... 0.87
Class 100: ... 0.61

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_sz71_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.774580
Expriment finished at 2017-04-05 00:23:17.549278 
Per class accuracy
Class 0: ... 0.68
Class 1: ... 0.78
Class 2: ... 0.58
Class 3: ... 0.82
Class 4: ... 0.79
Class 5: ... 0.92
Class 6: ... 0.78
Class 7: ... 0.64
Class 8: ... 1.00
Class 9: ... 0.77
Class 10: ... 0.93
Class 11: ... 1.00
Class 12: ... 0.58
Class 13: ... 0.82
Class 14: ... 0.61
Class 15: ... 0.97
Class 16: ... 0.54
Class 17: ... 0.99
Class 18: ... 0.88
Class 19: ... 0.43
Class 20: ... 0.91
Class 21: ... 0.94
Class 22: ... 0.51
Class 23: ... 0.20
Class 24: ... 0.86
Class 25: ... 1.00
Class 26: ... 0.83
Class 27: ... 0.99
Class 28: ... 0.95
Class 29: ... 0.96
Class 30: ... 0.95
Class 31: ... 0.55
Class 32: ... 0.71
Class 33: ... 0.66
Class 34: ... 0.42
Class 35: ... 0.70
Class 36: ... 0.56
Class 37: ... 0.21
Class 38: ... 0.82
Class 39: ... 0.55
Class 40: ... 0.99
Class 41: ... 1.00
Class 42: ... 0.89
Class 43: ... 0.98
Class 44: ... 0.64
Class 45: ... 0.89
Class 46: ... 0.70
Class 47: ... 0.72
Class 48: ... 0.82
Class 49: ... 0.84
Class 50: ... 0.70
Class 51: ... 0.51
Class 52: ... 0.55
Class 53: ... 0.72
Class 54: ... 0.56
Class 55: ... 0.42
Class 56: ... 0.98
Class 57: ... 0.53
Class 58: ... 0.77
Class 59: ... 0.64
Class 60: ... 0.76
Class 61: ... 0.76
Class 62: ... 0.78
Class 63: ... 0.97
Class 64: ... 0.69
Class 65: ... 0.95
Class 66: ... 0.90
Class 67: ... 0.76
Class 68: ... 0.71
Class 69: ... 0.43
Class 70: ... 0.94
Class 71: ... 0.46
Class 72: ... 0.82
Class 73: ... 0.93
Class 74: ... 0.83
Class 75: ... 0.83
Class 76: ... 0.87
Class 77: ... 0.39
Class 78: ... 0.58
Class 79: ... 0.91
Class 80: ... 0.73
Class 81: ... 0.96
Class 82: ... 0.96
Class 83: ... 0.90
Class 84: ... 1.00
Class 85: ... 0.82
Class 86: ... 0.98
Class 87: ... 0.95
Class 88: ... 0.75
Class 89: ... 0.91
Class 90: ... 0.88
Class 91: ... 0.99
Class 92: ... 0.93
Class 93: ... 0.94
Class 94: ... 0.91
Class 95: ... 0.92
Class 96: ... 1.00
Class 97: ... 0.80
Class 98: ... 0.59
Class 99: ... 0.84
Class 100: ... 0.55

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_sz71_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.791435
Expriment finished at 2017-04-05 00:23:20.078054 
Per class accuracy
Class 0: ... 0.68
Class 1: ... 0.81
Class 2: ... 0.63
Class 3: ... 0.89
Class 4: ... 0.87
Class 5: ... 0.93
Class 6: ... 0.81
Class 7: ... 0.63
Class 8: ... 1.00
Class 9: ... 0.79
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.58
Class 13: ... 0.88
Class 14: ... 0.60
Class 15: ... 0.93
Class 16: ... 0.53
Class 17: ... 1.00
Class 18: ... 0.96
Class 19: ... 0.42
Class 20: ... 0.91
Class 21: ... 0.92
Class 22: ... 0.53
Class 23: ... 0.29
Class 24: ... 0.88
Class 25: ... 1.00
Class 26: ... 0.91
Class 27: ... 1.00
Class 28: ... 0.95
Class 29: ... 1.00
Class 30: ... 0.97
Class 31: ... 0.57
Class 32: ... 0.72
Class 33: ... 0.67
Class 34: ... 0.42
Class 35: ... 0.76
Class 36: ... 0.50
Class 37: ... 0.29
Class 38: ... 0.88
Class 39: ... 0.57
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.91
Class 43: ... 0.98
Class 44: ... 0.68
Class 45: ... 0.90
Class 46: ... 0.62
Class 47: ... 0.76
Class 48: ... 0.83
Class 49: ... 0.82
Class 50: ... 0.72
Class 51: ... 0.54
Class 52: ... 0.55
Class 53: ... 0.73
Class 54: ... 0.59
Class 55: ... 0.46
Class 56: ... 1.00
Class 57: ... 0.55
Class 58: ... 0.77
Class 59: ... 0.61
Class 60: ... 0.80
Class 61: ... 0.77
Class 62: ... 0.79
Class 63: ... 1.00
Class 64: ... 0.68
Class 65: ... 0.94
Class 66: ... 0.89
Class 67: ... 0.78
Class 68: ... 0.69
Class 69: ... 0.46
Class 70: ... 0.87
Class 71: ... 0.47
Class 72: ... 0.82
Class 73: ... 0.98
Class 74: ... 0.88
Class 75: ... 0.89
Class 76: ... 0.93
Class 77: ... 0.35
Class 78: ... 0.63
Class 79: ... 0.91
Class 80: ... 0.75
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.95
Class 84: ... 1.00
Class 85: ... 0.84
Class 86: ... 0.97
Class 87: ... 1.00
Class 88: ... 0.76
Class 89: ... 0.92
Class 90: ... 0.89
Class 91: ... 1.00
Class 92: ... 0.92
Class 93: ... 0.97
Class 94: ... 0.91
Class 95: ... 0.93
Class 96: ... 1.00
Class 97: ... 0.83
Class 98: ... 0.60
Class 99: ... 0.87
Class 100: ... 0.64

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_sz71_len80_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.768317
Expriment finished at 2017-04-07 13:51:18.610302 
Per class accuracy
Class 0: ... 0.66
Class 1: ... 0.81
Class 2: ... 0.52
Class 3: ... 0.80
Class 4: ... 0.68
Class 5: ... 0.95
Class 6: ... 0.95
Class 7: ... 0.73
Class 8: ... 1.00
Class 9: ... 0.74
Class 10: ... 0.86
Class 11: ... 1.00
Class 12: ... 0.46
Class 13: ... 0.94
Class 14: ... 0.75
Class 15: ... 0.90
Class 16: ... 0.70
Class 17: ... 0.95
Class 18: ... 0.90
Class 19: ... 0.38
Class 20: ... 0.96
Class 21: ... 0.90
Class 22: ... 0.42
Class 23: ... 0.29
Class 24: ... 0.85
Class 25: ... 1.00
Class 26: ... 0.78
Class 27: ... 0.96
Class 28: ... 1.00
Class 29: ... 0.96
Class 30: ... 1.00
Class 31: ... 0.43
Class 32: ... 0.85
Class 33: ... 0.54
Class 34: ... 0.25
Class 35: ... 0.69
Class 36: ... 0.67
Class 37: ... 0.21
Class 38: ... 0.67
Class 39: ... 0.62
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.95
Class 43: ... 1.00
Class 44: ... 1.00
Class 45: ... 0.81
Class 46: ... 0.87
Class 47: ... 0.58
Class 48: ... 0.80
Class 49: ... 0.65
Class 50: ... 0.71
Class 51: ... 0.42
Class 52: ... 0.52
Class 53: ... 0.69
Class 54: ... 0.67
Class 55: ... 0.52
Class 56: ... 0.95
Class 57: ... 0.46
Class 58: ... 0.59
Class 59: ... 0.42
Class 60: ... 0.68
Class 61: ... 0.78
Class 62: ... 0.95
Class 63: ... 0.85
Class 64: ... 0.81
Class 65: ... 1.00
Class 66: ... 0.90
Class 67: ... 0.88
Class 68: ... 0.69
Class 69: ... 0.53
Class 70: ... 0.84
Class 71: ... 0.67
Class 72: ... 0.85
Class 73: ... 1.00
Class 74: ... 0.80
Class 75: ... 0.89
Class 76: ... 0.88
Class 77: ... 0.38
Class 78: ... 0.73
Class 79: ... 0.93
Class 80: ... 0.76
Class 81: ... 0.92
Class 82: ... 0.95
Class 83: ... 0.93
Class 84: ... 1.00
Class 85: ... 0.78
Class 86: ... 1.00
Class 87: ... 0.88
Class 88: ... 0.82
Class 89: ... 0.90
Class 90: ... 0.67
Class 91: ... 0.96
Class 92: ... 0.81
Class 93: ... 1.00
Class 94: ... 1.00
Class 95: ... 1.00
Class 96: ... 1.00
Class 97: ... 0.68
Class 98: ... 0.38
Class 99: ... 0.80
Class 100: ... 0.38

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_sz71_len80_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.772873
Expriment finished at 2017-04-07 13:51:18.929359 
Per class accuracy
Class 0: ... 0.32
Class 1: ... 0.41
Class 2: ... 0.27
Class 3: ... 0.34
Class 4: ... 0.35
Class 5: ... 0.40
Class 6: ... 0.33
Class 7: ... 0.26
Class 8: ... 0.05
Class 9: ... 0.33
Class 10: ... 0.37
Class 11: ... 0.38
Class 12: ... 0.18
Class 13: ... 0.33
Class 14: ... 0.13
Class 15: ... 0.44
Class 16: ... 0.33
Class 17: ... 0.43
Class 18: ... 0.25
Class 19: ... 0.17
Class 20: ... 0.64
Class 21: ... 0.38
Class 22: ... 0.17
Class 23: ... 0.08
Class 24: ... 0.39
Class 25: ... 0.36
Class 26: ... 0.33
Class 27: ... 0.47
Class 28: ... 0.30
Class 29: ... 0.53
Class 30: ... 0.35
Class 31: ... 0.14
Class 32: ... 0.44
Class 33: ... 0.21
Class 34: ... 0.09
Class 35: ... 0.36
Class 36: ... 0.21
Class 37: ... 0.06
Class 38: ... 0.22
Class 39: ... 0.35
Class 40: ... 0.46
Class 41: ... 0.49
Class 42: ... 0.41
Class 43: ... 0.33
Class 44: ... 0.32
Class 45: ... 0.35
Class 46: ... 0.30
Class 47: ... 0.24
Class 48: ... 0.25
Class 49: ... 0.26
Class 50: ... 0.28
Class 51: ... 0.22
Class 52: ... 0.27
Class 53: ... 0.33
Class 54: ... 0.26
Class 55: ... 0.23
Class 56: ... 0.46
Class 57: ... 0.30
Class 58: ... 0.27
Class 59: ... 0.17
Class 60: ... 0.37
Class 61: ... 0.25
Class 62: ... 0.40
Class 63: ... 0.29
Class 64: ... 0.34
Class 65: ... 0.32
Class 66: ... 0.50
Class 67: ... 0.28
Class 68: ... 0.37
Class 69: ... 0.21
Class 70: ... 0.33
Class 71: ... 0.23
Class 72: ... 0.39
Class 73: ... 0.46
Class 74: ... 0.32
Class 75: ... 0.50
Class 76: ... 0.37
Class 77: ... 0.12
Class 78: ... 0.28
Class 79: ... 0.31
Class 80: ... 0.40
Class 81: ... 0.29
Class 82: ... 0.42
Class 83: ... 0.49
Class 84: ... 0.29
Class 85: ... 0.28
Class 86: ... 0.56
Class 87: ... 0.36
Class 88: ... 0.33
Class 89: ... 0.33
Class 90: ... 0.21
Class 91: ... 0.43
Class 92: ... 0.29
Class 93: ... 0.34
Class 94: ... 0.37
Class 95: ... 0.50
Class 96: ... 0.29
Class 97: ... 0.31
Class 98: ... 0.20
Class 99: ... 0.31
Class 100: ... 0.17

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_sz71_len80_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.768317
Expriment finished at 2017-04-07 13:57:10.271422 
Per class accuracy
Class 0: ... 0.66
Class 1: ... 0.81
Class 2: ... 0.52
Class 3: ... 0.80
Class 4: ... 0.68
Class 5: ... 0.95
Class 6: ... 0.95
Class 7: ... 0.73
Class 8: ... 1.00
Class 9: ... 0.74
Class 10: ... 0.86
Class 11: ... 1.00
Class 12: ... 0.46
Class 13: ... 0.94
Class 14: ... 0.75
Class 15: ... 0.90
Class 16: ... 0.70
Class 17: ... 0.95
Class 18: ... 0.90
Class 19: ... 0.38
Class 20: ... 0.96
Class 21: ... 0.90
Class 22: ... 0.42
Class 23: ... 0.29
Class 24: ... 0.85
Class 25: ... 1.00
Class 26: ... 0.78
Class 27: ... 0.96
Class 28: ... 1.00
Class 29: ... 0.96
Class 30: ... 1.00
Class 31: ... 0.43
Class 32: ... 0.85
Class 33: ... 0.54
Class 34: ... 0.25
Class 35: ... 0.69
Class 36: ... 0.67
Class 37: ... 0.21
Class 38: ... 0.67
Class 39: ... 0.62
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.95
Class 43: ... 1.00
Class 44: ... 1.00
Class 45: ... 0.81
Class 46: ... 0.87
Class 47: ... 0.58
Class 48: ... 0.80
Class 49: ... 0.65
Class 50: ... 0.71
Class 51: ... 0.42
Class 52: ... 0.52
Class 53: ... 0.69
Class 54: ... 0.67
Class 55: ... 0.52
Class 56: ... 0.95
Class 57: ... 0.46
Class 58: ... 0.59
Class 59: ... 0.42
Class 60: ... 0.68
Class 61: ... 0.78
Class 62: ... 0.95
Class 63: ... 0.85
Class 64: ... 0.81
Class 65: ... 1.00
Class 66: ... 0.90
Class 67: ... 0.88
Class 68: ... 0.69
Class 69: ... 0.53
Class 70: ... 0.84
Class 71: ... 0.67
Class 72: ... 0.85
Class 73: ... 1.00
Class 74: ... 0.80
Class 75: ... 0.89
Class 76: ... 0.88
Class 77: ... 0.38
Class 78: ... 0.73
Class 79: ... 0.93
Class 80: ... 0.76
Class 81: ... 0.92
Class 82: ... 0.95
Class 83: ... 0.93
Class 84: ... 1.00
Class 85: ... 0.78
Class 86: ... 1.00
Class 87: ... 0.88
Class 88: ... 0.82
Class 89: ... 0.90
Class 90: ... 0.67
Class 91: ... 0.96
Class 92: ... 0.81
Class 93: ... 1.00
Class 94: ... 1.00
Class 95: ... 1.00
Class 96: ... 1.00
Class 97: ... 0.68
Class 98: ... 0.38
Class 99: ... 0.80
Class 100: ... 0.38

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_sz71_len80_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.772873
Expriment finished at 2017-04-07 13:57:10.546261 
Per class accuracy
Class 0: ... 0.32
Class 1: ... 0.41
Class 2: ... 0.27
Class 3: ... 0.34
Class 4: ... 0.35
Class 5: ... 0.40
Class 6: ... 0.33
Class 7: ... 0.26
Class 8: ... 0.05
Class 9: ... 0.33
Class 10: ... 0.37
Class 11: ... 0.38
Class 12: ... 0.18
Class 13: ... 0.33
Class 14: ... 0.13
Class 15: ... 0.44
Class 16: ... 0.33
Class 17: ... 0.43
Class 18: ... 0.25
Class 19: ... 0.17
Class 20: ... 0.64
Class 21: ... 0.38
Class 22: ... 0.17
Class 23: ... 0.08
Class 24: ... 0.39
Class 25: ... 0.36
Class 26: ... 0.33
Class 27: ... 0.47
Class 28: ... 0.30
Class 29: ... 0.53
Class 30: ... 0.35
Class 31: ... 0.14
Class 32: ... 0.44
Class 33: ... 0.21
Class 34: ... 0.09
Class 35: ... 0.36
Class 36: ... 0.21
Class 37: ... 0.06
Class 38: ... 0.22
Class 39: ... 0.35
Class 40: ... 0.46
Class 41: ... 0.49
Class 42: ... 0.41
Class 43: ... 0.33
Class 44: ... 0.32
Class 45: ... 0.35
Class 46: ... 0.30
Class 47: ... 0.24
Class 48: ... 0.25
Class 49: ... 0.26
Class 50: ... 0.28
Class 51: ... 0.22
Class 52: ... 0.27
Class 53: ... 0.33
Class 54: ... 0.26
Class 55: ... 0.23
Class 56: ... 0.46
Class 57: ... 0.30
Class 58: ... 0.27
Class 59: ... 0.17
Class 60: ... 0.37
Class 61: ... 0.25
Class 62: ... 0.40
Class 63: ... 0.29
Class 64: ... 0.34
Class 65: ... 0.32
Class 66: ... 0.50
Class 67: ... 0.28
Class 68: ... 0.37
Class 69: ... 0.21
Class 70: ... 0.33
Class 71: ... 0.23
Class 72: ... 0.39
Class 73: ... 0.46
Class 74: ... 0.32
Class 75: ... 0.50
Class 76: ... 0.37
Class 77: ... 0.12
Class 78: ... 0.28
Class 79: ... 0.31
Class 80: ... 0.40
Class 81: ... 0.29
Class 82: ... 0.42
Class 83: ... 0.49
Class 84: ... 0.29
Class 85: ... 0.28
Class 86: ... 0.56
Class 87: ... 0.36
Class 88: ... 0.33
Class 89: ... 0.33
Class 90: ... 0.21
Class 91: ... 0.43
Class 92: ... 0.29
Class 93: ... 0.34
Class 94: ... 0.37
