
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model2_iter_20000
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.680677
Expriment finished at 2016-10-31 15:52:09.923041 
Per class accuracy
Class 28: ... 0.22
Class 29: ... 0.33
Class 30: ... 0.65
Class 31: ... 0.49
Class 32: ... 0.46
Class 33: ... 0.19
Class 34: ... 0.15
Class 35: ... 0.51
Class 36: ... 0.56
Class 37: ... 0.14
Class 38: ... 0.65
Class 39: ... 0.42
Class 40: ... 0.81
Class 41: ... 0.90
Class 42: ... 0.84
Class 43: ... 0.83
Class 44: ... 0.49
Class 45: ... 0.86
Class 46: ... 0.77
Class 47: ... 0.66
Class 48: ... 0.36
Class 49: ... 0.81
Class 50: ... 0.35
Class 51: ... 0.35
Class 52: ... 0.77
Class 53: ... 0.35
Class 54: ... 0.19
Class 55: ... 0.29
Class 56: ... 0.44
Class 57: ... 0.09
Class 58: ... 0.62
Class 59: ... 0.48
Class 60: ... 0.49
Class 61: ... 0.64
Class 62: ... 0.78
Class 63: ... 0.43
Class 64: ... 0.54
Class 65: ... 0.89
Class 66: ... 0.57
Class 67: ... 0.30
Class 68: ... 0.83
Class 69: ... 0.47
Class 70: ... 0.79
Class 71: ... 0.69
Class 72: ... 0.64
Class 73: ... 0.39
Class 74: ... 0.40
Class 75: ... 0.70
Class 76: ... 0.77
Class 77: ... 0.47
Class 78: ... 0.29
Class 79: ... 0.60
Class 80: ... 0.20
Class 81: ... 0.43
Class 82: ... 0.62
Class 83: ... 0.77
Class 84: ... 0.77
Class 85: ... 0.52
Class 86: ... 0.73
Class 87: ... 0.72
Class 88: ... 0.67
Class 89: ... 0.44
Class 90: ... 0.23
Class 91: ... 0.39
Class 92: ... 0.62
Class 93: ... 0.70
Class 94: ... 0.55
Class 95: ... 0.55
Class 96: ... 0.71
Class 97: ... 0.43
Class 98: ... 0.61
Class 99: ... 0.61
Class 100: ... 0.36

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model1_iter_10000
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.704203
Expriment finished at 2016-10-31 16:43:11.332872 
Per class accuracy
Class 0: ... 0.73
Class 1: ... 0.75
Class 2: ... 0.51
Class 3: ... 0.83
Class 4: ... 0.68
Class 5: ... 0.79
Class 6: ... 0.63
Class 7: ... 0.57
Class 8: ... 0.95
Class 9: ... 1.00
Class 10: ... 0.76
Class 11: ... 1.00
Class 12: ... 0.39
Class 13: ... 0.42
Class 14: ... 0.70
Class 15: ... 0.65
Class 16: ... 0.88
Class 17: ... 0.97
Class 18: ... 0.75
Class 19: ... 0.36
Class 20: ... 0.91
Class 21: ... 0.87
Class 22: ... 0.64
Class 23: ... 0.45
Class 24: ... 0.48
Class 25: ... 0.89
Class 26: ... 0.84
Class 27: ... 0.91
Class 28: ... 0.23
Class 29: ... 0.61
Class 30: ... 0.84
Class 31: ... 0.54
Class 32: ... 0.90
Class 33: ... 0.33
Class 34: ... 0.15
Class 35: ... 0.71
Class 36: ... 0.71
Class 37: ... 0.24
Class 38: ... 0.85
Class 39: ... 0.68
Class 40: ... 0.89
Class 41: ... 0.94
Class 42: ... 0.88
Class 43: ... 0.98
Class 44: ... 0.77
Class 45: ... 0.93
Class 46: ... 0.84
Class 47: ... 0.79
Class 48: ... 0.50
Class 49: ... 0.94
Class 50: ... 0.49
Class 51: ... 0.54
Class 52: ... 0.85
Class 53: ... 0.40
Class 54: ... 0.21
Class 55: ... 0.46
Class 56: ... 0.70
Class 57: ... 0.09
Class 58: ... 0.68
Class 59: ... 0.54
Class 60: ... 0.55
Class 61: ... 0.92
Class 62: ... 0.84
Class 63: ... 0.50
Class 64: ... 0.64
Class 65: ... 0.97
Class 66: ... 0.82
Class 67: ... 0.55
Class 68: ... 1.00
Class 69: ... 0.64
Class 70: ... 0.87
Class 71: ... 0.87
Class 72: ... 0.82
Class 73: ... 0.59
Class 74: ... 0.62
Class 75: ... 0.81
Class 76: ... 0.93
Class 77: ... 0.72
Class 78: ... 0.43
Class 79: ... 0.72
Class 80: ... 0.40
Class 81: ... 0.54
Class 82: ... 0.87
Class 83: ... 0.97
Class 84: ... 0.83
Class 85: ... 0.75
Class 86: ... 0.85
Class 87: ... 0.91
Class 88: ... 0.86
Class 89: ... 0.72
Class 90: ... 0.43
Class 91: ... 0.49
Class 92: ... 0.92
Class 93: ... 0.84
Class 94: ... 0.67
Class 95: ... 0.86
Class 96: ... 0.89
Class 97: ... 0.64
Class 98: ... 0.63
Class 99: ... 0.87
Class 100: ... 0.61

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model3_iter_20000
Probability extention: flow_prob
Clip accuracy on testset split 1 of UCF101 is 0.690917
Expriment finished at 2016-11-01 16:21:02.860396 
Per class accuracy
Class 0: ... 0.84
Class 1: ... 0.82
Class 2: ... 0.57
Class 3: ... 0.74
Class 4: ... 0.68
Class 5: ... 0.83
Class 6: ... 0.53
Class 7: ... 0.65
Class 8: ... 0.98
Class 9: ... 0.93
Class 10: ... 0.80
Class 11: ... 0.94
Class 12: ... 0.51
Class 13: ... 0.49
Class 14: ... 0.71
Class 15: ... 0.80
Class 16: ... 0.71
Class 17: ... 0.94
Class 18: ... 0.53
Class 19: ... 0.24
Class 20: ... 0.87
Class 21: ... 0.67
Class 22: ... 0.44
Class 23: ... 0.52
Class 24: ... 0.46
Class 25: ... 0.90
Class 26: ... 0.71
Class 27: ... 0.82
Class 28: ... 0.28
Class 29: ... 0.65
Class 30: ... 0.66
Class 31: ... 0.50
Class 32: ... 0.72
Class 33: ... 0.53
Class 34: ... 0.29
Class 35: ... 0.74
Class 36: ... 0.63
Class 37: ... 0.33
Class 38: ... 0.80
Class 39: ... 0.51
Class 40: ... 0.94
Class 41: ... 0.96
Class 42: ... 0.87
Class 43: ... 0.95
Class 44: ... 0.70
Class 45: ... 0.89
Class 46: ... 0.85
Class 47: ... 0.69
Class 48: ... 0.63
Class 49: ... 0.83
Class 50: ... 0.43
Class 51: ... 0.59
Class 52: ... 0.91
Class 53: ... 0.42
Class 54: ... 0.35
Class 55: ... 0.52
Class 56: ... 0.73
Class 57: ... 0.33
Class 58: ... 0.77
Class 59: ... 0.72
Class 60: ... 0.61
Class 61: ... 0.73
Class 62: ... 0.76
Class 63: ... 0.78
Class 64: ... 0.71
Class 65: ... 0.94
Class 66: ... 0.76
Class 67: ... 0.58
Class 68: ... 0.96
Class 69: ... 0.59
Class 70: ... 0.83
Class 71: ... 0.66
Class 72: ... 0.74
Class 73: ... 0.51
Class 74: ... 0.60
Class 75: ... 0.80
Class 76: ... 0.81
Class 77: ... 0.57
Class 78: ... 0.42
Class 79: ... 0.71
Class 80: ... 0.39
Class 81: ... 0.68
Class 82: ... 0.81
Class 83: ... 0.88
Class 84: ... 0.82
Class 85: ... 0.74
Class 86: ... 0.85
Class 87: ... 0.90
Class 88: ... 0.72
Class 89: ... 0.61
Class 90: ... 0.53
Class 91: ... 0.59
Class 92: ... 0.74
Class 93: ... 0.79
Class 94: ... 0.71
Class 95: ... 0.73
Class 96: ... 0.89
Class 97: ... 0.65
Class 98: ... 0.61
Class 99: ... 0.92
Class 100: ... 0.59

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model3_iter_20000
Probability extention: flow_prob
Video accuracy on testset split 1 of UCF101 is 0.809146
Expriment finished at 2016-11-01 16:21:05.794495 
Per class accuracy
Class 0: ... 0.95
Class 1: ... 0.88
Class 2: ... 0.93
Class 3: ... 0.83
Class 4: ... 0.87
Class 5: ... 0.91
Class 6: ... 0.58
Class 7: ... 0.80
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 0.89
Class 11: ... 1.00
Class 12: ... 0.55
Class 13: ... 0.64
Class 14: ... 0.90
Class 15: ... 0.88
Class 16: ... 0.78
Class 17: ... 0.95
Class 18: ... 0.68
Class 19: ... 0.39
Class 20: ... 1.00
Class 21: ... 0.85
Class 22: ... 0.53
Class 23: ... 0.65
Class 24: ... 0.55
Class 25: ... 0.96
Class 26: ... 0.84
Class 27: ... 0.94
Class 28: ... 0.38
Class 29: ... 0.92
Class 30: ... 0.81
Class 31: ... 0.57
Class 32: ... 0.97
Class 33: ... 0.76
Class 34: ... 0.30
Class 35: ... 0.84
Class 36: ... 0.75
Class 37: ... 0.41
Class 38: ... 0.98
Class 39: ... 0.65
Class 40: ... 0.97
Class 41: ... 0.98
Class 42: ... 0.94
Class 43: ... 1.00
Class 44: ... 0.87
Class 45: ... 0.95
Class 46: ... 0.89
Class 47: ... 0.84
Class 48: ... 0.69
Class 49: ... 0.91
Class 50: ... 0.51
Class 51: ... 0.73
Class 52: ... 0.97
Class 53: ... 0.49
Class 54: ... 0.50
Class 55: ... 0.71
Class 56: ... 0.97
Class 57: ... 0.45
Class 58: ... 0.95
Class 59: ... 0.80
Class 60: ... 0.63
Class 61: ... 0.94
Class 62: ... 0.81
Class 63: ... 0.86
Class 64: ... 0.93
Class 65: ... 1.00
Class 66: ... 0.86
Class 67: ... 0.93
Class 68: ... 1.00
Class 69: ... 0.75
Class 70: ... 0.85
Class 71: ... 0.77
Class 72: ... 0.82
Class 73: ... 0.66
Class 74: ... 0.76
Class 75: ... 0.92
Class 76: ... 0.95
Class 77: ... 0.79
Class 78: ... 0.50
Class 79: ... 0.75
Class 80: ... 0.50
Class 81: ... 0.89
Class 82: ... 0.97
Class 83: ... 1.00
Class 84: ... 0.85
Class 85: ... 0.94
Class 86: ... 0.94
Class 87: ... 1.00
Class 88: ... 0.93
Class 89: ... 0.77
Class 90: ... 0.68
Class 91: ... 0.90
Class 92: ... 0.87
Class 93: ... 0.88
Class 94: ... 0.70
Class 95: ... 0.89
Class 96: ... 0.94
Class 97: ... 0.86
Class 98: ... 0.57
Class 99: ... 0.98
Class 100: ... 0.83

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features-10view//c3d_flow_nd_conv_bs150_model3_iter_20000
Probability extention: flow_prob
Clip accuracy on testset split 1 of UCF101 is 0.714818
Expriment finished at 2016-11-01 23:29:15.964495 
Per class accuracy
Class 0: ... 0.85
Class 1: ... 0.82
Class 2: ... 0.59
Class 3: ... 0.78
Class 4: ... 0.70
Class 5: ... 0.88
Class 6: ... 0.55
Class 7: ... 0.65
Class 8: ... 0.99
Class 9: ... 0.93
Class 10: ... 0.81
Class 11: ... 0.96
Class 12: ... 0.55
Class 13: ... 0.53
Class 14: ... 0.69
Class 15: ... 0.83
Class 16: ... 0.72
Class 17: ... 0.95
Class 18: ... 0.68
Class 19: ... 0.24
Class 20: ... 0.88
Class 21: ... 0.67
Class 22: ... 0.45
Class 23: ... 0.49
Class 24: ... 0.53
Class 25: ... 0.90
Class 26: ... 0.74
Class 27: ... 0.83
Class 28: ... 0.34
Class 29: ... 0.66
Class 30: ... 0.70
Class 31: ... 0.52
Class 32: ... 0.78
Class 33: ... 0.50
Class 34: ... 0.29
Class 35: ... 0.74
Class 36: ... 0.65
Class 37: ... 0.36
Class 38: ... 0.83
Class 39: ... 0.50
Class 40: ... 0.97
Class 41: ... 0.97
Class 42: ... 0.90
Class 43: ... 0.97
Class 44: ... 0.71
Class 45: ... 0.89
Class 46: ... 0.81
Class 47: ... 0.73
Class 48: ... 0.65
Class 49: ... 0.89
Class 50: ... 0.46
Class 51: ... 0.62
Class 52: ... 0.91
Class 53: ... 0.46
Class 54: ... 0.37
Class 55: ... 0.53
Class 56: ... 0.78
Class 57: ... 0.37
Class 58: ... 0.78
Class 59: ... 0.71
Class 60: ... 0.64
Class 61: ... 0.78
Class 62: ... 0.74
Class 63: ... 0.81
Class 64: ... 0.77
Class 65: ... 0.96
Class 66: ... 0.77
Class 67: ... 0.68
Class 68: ... 0.96
Class 69: ... 0.66
Class 70: ... 0.85
Class 71: ... 0.74
Class 72: ... 0.75
Class 73: ... 0.57
Class 74: ... 0.66
Class 75: ... 0.83
Class 76: ... 0.85
Class 77: ... 0.66
Class 78: ... 0.45
Class 79: ... 0.73
Class 80: ... 0.41
Class 81: ... 0.70
Class 82: ... 0.81
Class 83: ... 0.89
Class 84: ... 0.84
Class 85: ... 0.79
Class 86: ... 0.87
Class 87: ... 0.90
Class 88: ... 0.78
Class 89: ... 0.65
Class 90: ... 0.53
Class 91: ... 0.63
Class 92: ... 0.72
Class 93: ... 0.79
Class 94: ... 0.71
Class 95: ... 0.75
Class 96: ... 0.93
Class 97: ... 0.71
Class 98: ... 0.63
Class 99: ... 0.94
Class 100: ... 0.61

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features-10view//c3d_flow_nd_conv_bs150_model3_iter_20000
Probability extention: flow_prob
Video accuracy on testset split 1 of UCF101 is 0.816019
Expriment finished at 2016-11-01 23:29:20.264357 
Per class accuracy
Class 0: ... 0.93
Class 1: ... 0.94
Class 2: ... 0.90
Class 3: ... 0.83
Class 4: ... 0.90
Class 5: ... 0.93
Class 6: ... 0.58
Class 7: ... 0.77
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 0.95
Class 11: ... 1.00
Class 12: ... 0.61
Class 13: ... 0.67
Class 14: ... 0.80
Class 15: ... 0.88
Class 16: ... 0.76
Class 17: ... 0.95
Class 18: ... 0.89
Class 19: ... 0.28
Class 20: ... 1.00
Class 21: ... 0.82
Class 22: ... 0.53
Class 23: ... 0.65
Class 24: ... 0.61
Class 25: ... 0.96
Class 26: ... 0.89
Class 27: ... 0.91
Class 28: ... 0.47
Class 29: ... 0.97
Class 30: ... 0.78
Class 31: ... 0.59
Class 32: ... 0.95
Class 33: ... 0.73
Class 34: ... 0.36
Class 35: ... 0.82
Class 36: ... 0.71
Class 37: ... 0.47
Class 38: ... 0.98
Class 39: ... 0.59
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.94
Class 43: ... 1.00
Class 44: ... 0.97
Class 45: ... 0.95
Class 46: ... 0.81
Class 47: ... 0.82
Class 48: ... 0.69
Class 49: ... 0.94
Class 50: ... 0.49
Class 51: ... 0.73
Class 52: ... 0.94
Class 53: ... 0.51
Class 54: ... 0.47
Class 55: ... 0.71
Class 56: ... 0.97
Class 57: ... 0.45
Class 58: ... 0.98
Class 59: ... 0.83
Class 60: ... 0.69
Class 61: ... 0.94
Class 62: ... 0.72
Class 63: ... 0.86
Class 64: ... 0.98
Class 65: ... 0.97
Class 66: ... 0.86
Class 67: ... 1.00
Class 68: ... 1.00
Class 69: ... 0.96
Class 70: ... 0.87
Class 71: ... 0.83
Class 72: ... 0.86
Class 73: ... 0.61
Class 74: ... 0.74
Class 75: ... 0.94
Class 76: ... 0.98
Class 77: ... 0.84
Class 78: ... 0.52
Class 79: ... 0.78
Class 80: ... 0.47
Class 81: ... 0.89
Class 82: ... 0.97
Class 83: ... 1.00
Class 84: ... 0.85
Class 85: ... 0.97
Class 86: ... 0.94
Class 87: ... 1.00
Class 88: ... 0.93
Class 89: ... 0.77
Class 90: ... 0.64
Class 91: ... 0.90
Class 92: ... 0.84
Class 93: ... 0.84
Class 94: ... 0.70
Class 95: ... 0.89
Class 96: ... 0.94
Class 97: ... 0.86
Class 98: ... 0.57
Class 99: ... 1.00
Class 100: ... 0.83

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features-10view//c3d_flow_nd_conv_bs150_model2_iter_20000
Probability extention: flow_prob
Clip accuracy on testset split 1 of UCF101 is 0.701920
Expriment finished at 2016-11-01 23:47:57.908278 
Per class accuracy
Class 0: ... 0.81
Class 1: ... 0.82
Class 2: ... 0.55
Class 3: ... 0.75
Class 4: ... 0.73
Class 5: ... 0.85
Class 6: ... 0.55
Class 7: ... 0.63
Class 8: ... 0.97
Class 9: ... 0.92
Class 10: ... 0.79
Class 11: ... 0.96
Class 12: ... 0.49
Class 13: ... 0.55
Class 14: ... 0.65
Class 15: ... 0.80
Class 16: ... 0.71
Class 17: ... 0.94
Class 18: ... 0.64
Class 19: ... 0.24
Class 20: ... 0.87
Class 21: ... 0.65
Class 22: ... 0.46
Class 23: ... 0.47
Class 24: ... 0.51
Class 25: ... 0.91
Class 26: ... 0.72
Class 27: ... 0.84
Class 28: ... 0.37
Class 29: ... 0.66
Class 30: ... 0.66
Class 31: ... 0.51
Class 32: ... 0.80
Class 33: ... 0.50
Class 34: ... 0.28
Class 35: ... 0.71
Class 36: ... 0.69
Class 37: ... 0.35
Class 38: ... 0.79
Class 39: ... 0.53
Class 40: ... 0.95
Class 41: ... 0.97
Class 42: ... 0.88
Class 43: ... 0.96
Class 44: ... 0.65
Class 45: ... 0.90
Class 46: ... 0.82
Class 47: ... 0.70
Class 48: ... 0.65
Class 49: ... 0.83
Class 50: ... 0.46
Class 51: ... 0.56
Class 52: ... 0.92
Class 53: ... 0.43
Class 54: ... 0.36
Class 55: ... 0.54
Class 56: ... 0.79
Class 57: ... 0.34
Class 58: ... 0.76
Class 59: ... 0.71
Class 60: ... 0.67
Class 61: ... 0.74
Class 62: ... 0.74
Class 63: ... 0.79
Class 64: ... 0.78
Class 65: ... 0.96
Class 66: ... 0.76
Class 67: ... 0.66
Class 68: ... 0.96
Class 69: ... 0.63
Class 70: ... 0.85
Class 71: ... 0.75
Class 72: ... 0.76
Class 73: ... 0.59
Class 74: ... 0.66
Class 75: ... 0.80
Class 76: ... 0.82
Class 77: ... 0.57
Class 78: ... 0.43
Class 79: ... 0.72
Class 80: ... 0.41
Class 81: ... 0.63
Class 82: ... 0.80
Class 83: ... 0.85
Class 84: ... 0.83
Class 85: ... 0.75
Class 86: ... 0.84
Class 87: ... 0.88
Class 88: ... 0.81
Class 89: ... 0.60
Class 90: ... 0.55
Class 91: ... 0.64
Class 92: ... 0.71
Class 93: ... 0.78
Class 94: ... 0.71
Class 95: ... 0.70
Class 96: ... 0.95
Class 97: ... 0.73
Class 98: ... 0.62
Class 99: ... 0.89
Class 100: ... 0.54

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features-10view//c3d_flow_nd_conv_bs150_model2_iter_20000
Probability extention: flow_prob
Video accuracy on testset split 1 of UCF101 is 0.805710
Expriment finished at 2016-11-01 23:50:58.674889 
Per class accuracy
Class 0: ... 0.91
Class 1: ... 0.94
Class 2: ... 0.71
Class 3: ... 0.83
Class 4: ... 0.90
Class 5: ... 0.91
Class 6: ... 0.58
Class 7: ... 0.77
Class 8: ... 0.97
Class 9: ... 1.00
Class 10: ... 0.95
Class 11: ... 1.00
Class 12: ... 0.53
Class 13: ... 0.73
Class 14: ... 0.73
Class 15: ... 0.88
Class 16: ... 0.76
Class 17: ... 0.95
Class 18: ... 0.79
Class 19: ... 0.33
Class 20: ... 1.00
Class 21: ... 0.87
Class 22: ... 0.53
Class 23: ... 0.51
Class 24: ... 0.61
Class 25: ... 0.96
Class 26: ... 0.84
Class 27: ... 0.94
Class 28: ... 0.60
Class 29: ... 0.83
Class 30: ... 0.78
Class 31: ... 0.54
Class 32: ... 0.97
Class 33: ... 0.70
Class 34: ... 0.33
Class 35: ... 0.80
Class 36: ... 0.79
Class 37: ... 0.50
Class 38: ... 0.98
Class 39: ... 0.70
Class 40: ... 1.00
Class 41: ... 0.98
Class 42: ... 0.94
Class 43: ... 1.00
Class 44: ... 0.87
Class 45: ... 0.97
Class 46: ... 0.84
Class 47: ... 0.82
Class 48: ... 0.72
Class 49: ... 0.85
Class 50: ... 0.49
Class 51: ... 0.65
Class 52: ... 0.97
Class 53: ... 0.49
Class 54: ... 0.53
Class 55: ... 0.69
Class 56: ... 0.97
Class 57: ... 0.52
Class 58: ... 0.95
Class 59: ... 0.78
Class 60: ... 0.73
Class 61: ... 0.92
Class 62: ... 0.79
Class 63: ... 0.82
Class 64: ... 0.93
Class 65: ... 0.97
Class 66: ... 0.82
Class 67: ... 0.93
Class 68: ... 1.00
Class 69: ... 0.89
Class 70: ... 0.90
Class 71: ... 0.83
Class 72: ... 0.86
Class 73: ... 0.73
Class 74: ... 0.79
Class 75: ... 0.89
Class 76: ... 0.95
Class 77: ... 0.77
Class 78: ... 0.50
Class 79: ... 0.78
Class 80: ... 0.50
Class 81: ... 0.86
Class 82: ... 0.94
Class 83: ... 0.95
Class 84: ... 0.88
Class 85: ... 0.94
Class 86: ... 0.94
Class 87: ... 1.00
Class 88: ... 0.98
Class 89: ... 0.67
Class 90: ... 0.61
Class 91: ... 0.90
Class 92: ... 0.87
Class 93: ... 0.84
Class 94: ... 0.74
Class 95: ... 0.86
Class 96: ... 0.97
Class 97: ... 0.83
Class 98: ... 0.57
Class 99: ... 0.96
Class 100: ... 0.72

--------------------------------------------------
